Djibouti,13,63,51,,,,13,63,51,,,,13,63,51,,,,13,63,51,,,,13,63,51,,,,13,63,51,,,,13,63,51,,,,13,63,51,,,,13,63,51,,,,13,63,51,,,,13,63,51,,,,13,63,51,,,,13,63,51,,,,13,63,51,,,,13,63,51,,,,13,63,51,,,
Dominica,,,78,,,,,,78,,,,,,78,,,,,,78,,,,,,78,,,,,,77,,,,,,75,,,,,,74,,,,,,73,,,,,,72,,,,,,70,,,,,,69,,,,,,68,,,,,,67,,,,,,65,,,,,,64,,,
Dominican Republic,74,85,83,,,,73,85,83,,,,73,85,82,,,,73,85,82,,,,73,85,82,,,,72,85,82,,,,72,85,82,,,,72,85,81,,,,72,85,81,,,,72,85,81,,,,71,85,81,,,,71,85,80,,,,71,85,80,,,,71,85,80,,,,70,85,80,,,,70,85,79,,,
Ecuador,80,89,86,57,34,42,79,89,85,56,35,42,77,88,84,55,35,42,75,88,83,54,36,42,73,88,82,53,36,42,71,87,81,52,37,42,69,87,80,51,37,43,68,86,79,50,38,43,66,86,78,49,39,43,64,85,77,49,39,42,62,85,76,48,40,42,60,84,75,47,40,42,59,84,74,46,41,42,57,83,73,45,41,42,55,83,72,44,42,42,53,82,71,43,42,42
Egypt,90,97,93,,70,61,90,97,93,,69,60,90,97,93,,69,60,90,97,93,,68,59,90,97,93,,68,59,90,97,93,,67,58,90,97,93,,67,57,90,97,93,,66,57,90,97,93,,66,56,90,97,93,,65,56,90,97,93,,64,55,89,97,93,,64,55,89,97,93,,63,54,89,97,93,,63,54,89,97,92,,62,53,89,97,92,,62,53
El Salvador,87,93,91,,,,86,93,90,,,,85,93,90,,,,83,92,89,,,,82,92,89,,,,81,92,88,,,,80,92,87,,,,78,91,86,,,,77,91,86,,,,76,91,85,,,,75,90,84,,,,73,90,84,,,,72,90,83,,,,71,90,82,,,,71,90,82,,,,71,90,82,,,
Equatorial Guinea,71,80,75,,,,71,80,75,,,,71,80,75,,,,72,80,75,,,,72,80,75,,,,73,80,76,,,,74,80,76,,,,74,80,77,,,,75,80,77,,,,76,80,78,,,,76,80,78,,,,77,80,78,,,,78,81,79,,,,78,81,79,,,,79,81,80,,,,80,81,80,,,
Eritrea,6,29,11,,,,6,29,11,,,,6,29,11,,,,6,29,11,,,,6,29,11,,,,5,30,10,,,,5,31,10,,,,5,31,10,,,,4,32,10,,,,4,32,9,,,,3,33,9,,,,3,33,9,,,,3,34,8,,,,2,35,8,,,,2,35,8,,,,2,36,8,,,
Estonia,100,100,100,81,99,93,100,100,100,81,98,93,99,100,100,80,98,92,99,100,100,80,97,92,99,100,99,79,97,91,99,100,99,79,97,91,99,99,99,78,96,91,99,99,99,78,96,90,99,99,99,77,96,90,99,99,99,77,95,89,99,99,99,76,95,89,99,99,99,76,94,89,99,99,99,75,94,88,99,99,99,75,94,88,99,99,99,74,93,88,99,99,99,74,93,87
Ethiopia,4,18,7,4,,,4,18,7,4,,,4,18,7,3,,,4,18,6,3,,,3,18,6,3,,,3,17,6,3,,,3,17,5,3,,,3,17,5,2,,,3,17,5,2,,,2,17,5,2,,,2,16,4,2,,,2,16,4,2,,,2,16,4,2,,,1,16,4,1,,,1,16,3,1,,,1,15,3,1,,
